ID_Entidad,Distrito,ID_Circunscripcion,Porcentaje1,Porcentaje2,Porcentaje3,Promedio1
30,10,3,0.25979601084338305,0.14540992170330094,0.9874394829518806,3.2162396355860117
30,11,3,0.41319016894055066,0.2084608748655193,0.9370454284260126,3.168103235974979
30,12,3,0.346799107525959,0.1699789238041938,0.9780171057524528,2.9317629222803854
30,13,3,0.6634676645402712,0.4158372013203014,0.8908199391920772,3.327306305797721
30,14,3,0.5901221902650814,0.37923743412868527,0.8298679172696796,3.4390514224998627
30,15,3,0.5245811341850408,0.3198081537715643,0.9120258471859123,3.6212450056725696
30,16,3,0.45912214730290457,0.26296793661824136,0.920659362033195,3.386929460580913
30,17,3,0.6690591818256647,0.4346697639248892,0.8755535435015228,3.1909704502428182
30,18,3,0.7584076264454056,0.5207951725840186,0.5883573130902993,3.826780827963633
30,19,3,0.6629409309975207,0.47026085627592884,0.8852658882442948,3.351893824715865
30,2,3,0.838097397923466,0.5211499206169199,0.42272158076888944,3.5777122629881974
30,20,3,0.6520690530591521,0.39764065219206146,0.8402671997969028,3.3062246128459
30,3,3,0.595010090617704,0.26997830307182824,0.7151873689208975,3.412350124648807
30,4,3,0.3367027786591723,0.15143946827115143,0.982574290765216,3.048139250260641
30,5,3,0.43909981102903284,0.2029329598189892,0.8439221075820811,3.3907656861060866
30,6,3,0.6923253859424072,0.42754371725817164,0.700862564692352,3.540567080992613
30,7,3,0.6364023688807464,0.3909741342793604,0.895385795236675,3.5517617485407524
30,8,3,0.5215336060121432,0.3464835460945131,0.9515263880436475,3.2810478791910214
30,9,3,0.5633002713322505,0.36766281345889323,0.9382106590923528,3.726716698276723
31,1,3,0.6338799315150017,0.41779169804810234,0.8220305618882816,3.8232574321787935
31,2,3,0.5344970650603891,0.2846035053454531,0.8963935584990319,3.6091228986754356
31,3,3,0.29993241957601485,0.15323147216844998,0.9721083123921501,3.3388075663830037
31,4,3,0.1719798155744517,0.10554935332224526,0.986224594948575,3.1954086415402925
31,5,3,0.6317006661834248,0.389852389914607,0.8380708294501398,3.799057678368023
32,1,2,0.4935269764079648,0.20784484159794214,0.9484974511589481,3.757939898046358
32,2,2,0.5320530482540732,0.2859944523902397,0.9516540842379824,3.50269098657262
32,3,2,0.44646050179751173,0.20199441787402347,0.9538105366184193,3.637476707636131
32,4,2,0.46493171522105753,0.1914567464205569,0.9400648126715386,3.7134436691908337
